comparison,metric,delta_favouring_second_model,ci_low,ci_high
RGB+Pose-29 over RGB-29,SRC,0.0554993859205585,0.0141907418377848,0.0977320767721114
RGB+Pose-29 over RGB-29,Pearson,0.0664745083609879,0.0283717423095228,0.105799047364492
RGB+Pose-29 over RGB-29,MAE,0.1397641403913498,0.0990943133831024,0.1805082261562347
Pose-29 over RGB+Pose-29,SRC,0.1925611484391386,0.1308147363317035,0.2554001620842078
Pose-29 over RGB+Pose-29,Pearson,0.1614412555860689,0.102949664815854,0.2197482626120175
Pose-29 over RGB+Pose-29,MAE,0.1410449444770813,0.0793291568756104,0.2033951103687286
