Split,Phase,Mean_keypoint_confidence,Median_keypoint_confidence,Observed_keypoint_fraction,Low_confidence_fraction_lt_0.05
Train,Buildup,0.4738748073577881,0.5566440224647522,0.8764238953590393,0.1235761035382117
Train,Execution,0.5089922547340393,0.5852794647216797,0.9147610664367676,0.08523891540770631
Train,FollowThrough,0.5247968435287476,0.6261150240898132,0.8784188628196716,0.12158112297623148
Validation,Buildup,0.4380839169025421,0.5099239945411682,0.854517936706543,0.14548206510470663
Validation,Execution,0.48698151111602783,0.5559494495391846,0.9103047847747803,0.08969521044992743
Validation,FollowThrough,0.510382890701294,0.6064149737358093,0.8738098740577698,0.1261901306240929
Test,Buildup,0.5080843567848206,0.5933829545974731,0.9006323218345642,0.09936770571724036
Test,Execution,0.5433059930801392,0.6196290254592896,0.9346432089805603,0.06535677352637022
Test,FollowThrough,0.5571741461753845,0.6531134843826294,0.9043329954147339,0.0956670113753878
