Bin,Lower,Upper,N,Mean_true,Mean_pred,Bias_pred_minus_true,MAE,RMSE
1,1.2999999523162842,4.099999904632568,240,2.9270832538604736,4.644289970397949,1.7172069549560547,1.7653987407684326,2.05928897857666
2,4.099999904632568,5.650000095367432,241,4.841078758239746,5.266471862792969,0.42539337277412415,0.8845468163490295,1.0377423763275146
3,5.650000095367432,6.850000381469727,243,6.321399688720703,5.812800407409668,-0.5085991621017456,0.6425907015800476,0.872107982635498
4,6.850000381469727,8.899999618530273,243,7.73806619644165,6.044694900512695,-1.6933714151382446,1.6933714151382446,1.8650174140930176
