model,n_seeds,test_overall_SRC_mean,test_overall_SRC_sd,test_overall_Pearson_mean,test_overall_Pearson_sd,test_overall_MAE_mean,test_overall_MAE_sd,test_overall_RMSE_mean,test_overall_RMSE_sd,test_Buildup_SRC_mean,test_Buildup_SRC_sd,test_Execution_SRC_mean,test_Execution_SRC_sd,test_FollowThrough_SRC_mean,test_FollowThrough_SRC_sd
POSE29_GROUPED,3,0.535832431126431,0.018007755652530506,0.5444259067645411,0.012526176662269434,1.2676108280817668,0.02023918731324314,1.5627809365590413,0.019161844404791475,0.43435506495240056,0.012240350275981233,0.5205248673030124,0.02141696636557526,0.5523837312723788,0.020104180723362022
RGB12_GROUPED,3,0.297761394827818,0.029787599151779344,0.350995989937594,0.06265195384358047,1.407174825668335,0.13662730073397408,1.781062404314677,0.07683400597313159,0.22940729192424422,0.0525186478109299,0.25284248478571064,0.045592950558595885,0.38881121091084686,0.046065215282084106
RGB29_GROUPED,3,0.3176501376475955,0.020419353298229585,0.3470753189793803,0.018474838931663948,1.4506949186325073,0.06473812357403813,1.8103920618693035,0.027536533827371257,0.2155232114890181,0.02356170906460621,0.26358744246710525,0.023323498360712343,0.45737584783620794,0.014158720595093295
RGBPOSE29_GROUPED,3,0.3906649464594125,0.0535629123125708,0.4240844967908229,0.05703638868887874,1.3391313552856445,0.08816172780194703,1.711918592453003,0.07314093811847211,0.24590479407495267,0.03884217654210416,0.3559829653015914,0.06370651941910517,0.4776837535905963,0.015845838755298564
