Split,Phase,N,Mean,SD,Median,IQR,Min,Max
Train,Buildup,5806,5.966379602120492,1.319462594004897,6.400000095367432,2.0,1.399999976158142,9.0
Train,Execution,5806,5.4366861854417134,2.4791591749930886,6.400000095367432,3.200000286102295,0.0,9.0
Train,FollowThrough,5806,4.5652428426893055,2.2866419545825285,4.599999904632568,3.0,0.0,9.0
Validation,Buildup,1378,5.890275744118434,1.2494907538877786,6.400000095367432,2.0,1.399999976158142,9.0
Validation,Execution,1378,5.497387525088901,2.3622562911663207,6.400000095367432,3.000000238418579,0.0,9.0
Validation,FollowThrough,1378,4.609579079707406,2.153828820117273,4.599999904632568,2.8000001907348633,0.0,9.0
Test,Buildup,967,6.09389865497029,1.4750492502598562,6.400000095367432,2.0,1.399999976158142,9.0
Test,Execution,967,5.508376405952881,2.4086804257586696,6.400000095367432,3.200000286102295,0.0,9.0
Test,FollowThrough,967,4.753464313487849,2.2676101451245363,4.599999904632568,3.0,0.0,9.0
