Stroke_Type,N,SRC,Pearson,MAE,True_mean,Pred_mean
2.0,253,0.5271786300742854,0.552792995490991,1.1297073364257812,5.791501522064209,5.724210262298584
0.0,214,0.5234496453158783,0.5493136479595544,1.152849793434143,5.861915588378906,5.61495304107666
5.0,138,0.38055623221186946,0.4924516414645256,1.2282756567001343,4.136231899261475,4.616302013397217
3.0,125,0.3946040381052104,0.40344455701906307,1.4690200090408325,5.597599506378174,5.358373641967773
1.0,108,0.5161676065586651,0.5648800153454456,1.396902322769165,5.449999809265137,5.405166149139404
4.0,94,0.2876756920882116,0.27020797724804935,1.3056446313858032,5.962234020233154,5.98215389251709
6.0,34,0.13804175330621224,0.24331597251602338,1.3214137554168701,4.139706134796143,4.622045993804932
