Split,Source_videos,N,Mean,SD,Median,IQR,Min,Max
Train,153,5806,5.351248705742321,1.852964360319953,5.650000095367432,2.65000057220459,0.550000011920929,9.0
Validation,30,1378,5.3736574708636855,1.7693373639527255,5.550000190734863,2.3500003814697266,0.8500000238418579,8.850000381469727
Test,22,967,5.46602894342673,1.8579696843540618,5.650000095367432,2.750000476837158,1.2999999523162842,8.899999618530273
