Phase,Body_part,SRC,Pearson,MAE
Buildup,Head,0.4155270928497901,0.42222683430692415,1.071545124053955
Buildup,Shoulders,0.45256381614883506,0.4560411907557384,1.1943676471710205
Buildup,Hands,0.40112159200277164,0.4073715936473135,1.1505850553512573
Buildup,Hips,0.3767096612036691,0.3855334027314579,1.1576287746429443
Buildup,Feet,0.4193924899644569,0.435779084067083,1.1633862257003784
Execution,Head,0.5235613409405606,0.5286912654577711,1.5853568315505981
Execution,Shoulders,0.5132654422408717,0.5185130810073083,1.7197909355163574
Execution,Hands,0.5129861497153851,0.5184110244586166,1.676949143409729
Execution,Hips,0.5015581185483603,0.5074197559842314,1.7358158826828003
Execution,Feet,0.5264486183789325,0.5279758489729455,1.617577075958252
FollowThrough,Head,0.5354534268964001,0.5514817140420307,1.5026463270187378
FollowThrough,Shoulders,0.5473794650525405,0.5549309096690898,1.5823925733566284
FollowThrough,Hands,0.5499349259745813,0.570018412623626,1.5637810230255127
FollowThrough,Hips,0.539364146952605,0.544713927069577,1.581540822982788
FollowThrough,Feet,0.5634811638667415,0.5700885298389861,1.5202687978744507
