model,seed,weight_scheme,SRC,Pearson,MAE,RMSE
RGB29_GROUPED,42,Original_025_050_025,0.3044281084435634,0.3284844128875713,1.5254205806795296,1.8404949604883138
RGB29_GROUPED,42,Equal_thirds,0.33256738714461587,0.35567620230412506,1.3999743248236174,1.69619145870729
RGB29_GROUPED,42,Execution_heavy_020_060_020,0.2877947615821547,0.31099896170335933,1.611132634925004,1.9442672360459208
RGB29_GROUPED,123,Original_025_050_025,0.3413213411200949,0.36543187291387014,1.4150886287394575,1.7864737439464586
RGB29_GROUPED,123,Equal_thirds,0.3677988658488249,0.3878071292958411,1.3025113766520484,1.6301534386064478
RGB29_GROUPED,123,Execution_heavy_020_060_020,0.3278049669872725,0.3504114243540665,1.4959445926556296,1.8998237152308965
RGB29_GROUPED,2026,Original_025_050_025,0.30730079734537796,0.3473096490306627,1.4115756620511397,1.804207460021254
RGB29_GROUPED,2026,Equal_thirds,0.334655535881636,0.372204839614055,1.285523437777703,1.6343696852696254
RGB29_GROUPED,2026,Execution_heavy_020_060_020,0.2939862893898054,0.3329318622676452,1.4988517962974008,1.92399809540692
POSE29_GROUPED,42,Original_025_050_025,0.5523663765760733,0.5558675140192051,1.2456155908452935,1.5446942750684038
POSE29_GROUPED,42,Equal_thirds,0.5557029810830835,0.5572656950941012,1.1542925640801978,1.425154595164362
POSE29_GROUPED,42,Execution_heavy_020_060_020,0.5487470815670732,0.5520700344785411,1.3104517582222248,1.630272853565232
POSE29_GROUPED,123,Original_025_050_025,0.5383150518960312,0.5463681447673199,1.2717686475186214,1.5607866909994939
POSE29_GROUPED,123,Equal_thirds,0.5331941308456422,0.539497749723919,1.1829301068409686,1.4498355301149322
POSE29_GROUPED,123,Execution_heavy_020_060_020,0.5390301961936271,0.5469562901843211,1.3332427867504284,1.640733617854803
POSE29_GROUPED,2026,Original_025_050_025,0.5166826911840955,0.5310420613031194,1.2854482045834412,1.582861936918958
POSE29_GROUPED,2026,Equal_thirds,0.5195080910859153,0.5293692807025258,1.19893302914604,1.4697107236166043
POSE29_GROUPED,2026,Execution_heavy_020_060_020,0.5127466184464083,0.5287551376136814,1.3489538842852629,1.665442339671056
RGBPOSE29_GROUPED,42,Original_025_050_025,0.3602754740151243,0.39504818248354123,1.3857361328823736,1.7507022603936115
RGBPOSE29_GROUPED,42,Equal_thirds,0.37153252009210114,0.4031265765647649,1.2838018827194264,1.6133179903207757
RGBPOSE29_GROUPED,42,Execution_heavy_020_060_020,0.3511125194369381,0.3872393772700698,1.4634055816338254,1.8528211527650396
RGBPOSE29_GROUPED,123,Original_025_050_025,0.45238919157079915,0.48979657853891795,1.2374486126845476,1.6275540379304092
RGBPOSE29_GROUPED,123,Equal_thirds,0.4521830338231439,0.48676029061408776,1.1456535042811575,1.503018923736861
RGBPOSE29_GROUPED,123,Execution_heavy_020_060_020,0.4495440351599969,0.487859794459117,1.3027239758879594,1.718315690275569
RGBPOSE29_GROUPED,2026,Original_025_050_025,0.35942433765423804,0.3874087380737523,1.3942092904722803,1.7574996055945495
RGBPOSE29_GROUPED,2026,Equal_thirds,0.3729951857546111,0.40090234382432804,1.281299613326305,1.6153018202845755
RGBPOSE29_GROUPED,2026,Execution_heavy_020_060_020,0.3482829122392879,0.375595033395489,1.47415806024866,1.8621110822182956
